age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
27,private,hs_grad,9,never_married,other_service,own_child,white,male,0,0,40,mexico,0
40,private,assoc_acdm,12,married_civ_spouse,adm_clerical,husband,white,male,0,0,40,united_states,0
67,unknown,10th,6,married_civ_spouse,unknown,husband,white,male,0,0,2,united_states,0
18,private,11th,7,never_married,other_service,own_child,white,female,0,0,22,united_states,0
31,local_gov,7th_8th,4,married_civ_spouse,farming_fishing,husband,white,male,0,0,40,united_states,0
18,private,hs_grad,9,never_married,sales,not_in_family,white,male,0,0,30,united_states,0
52,private,bachelors,13,married_civ_spouse,other_service,husband,white,male,0,0,40,cuba,0
46,private,hs_grad,9,married_civ_spouse,other_service,wife,white,female,0,0,40,united_states,0
59,private,hs_grad,9,married_civ_spouse,sales,husband,white,male,0,0,48,united_states,0
44,private,hs_grad,9,divorced,craft_repair,not_in_family,white,female,14344,0,40,united_states,1
53,private,hs_grad,9,divorced,sales,own_child,white,female,0,0,35,united_states,0
49,local_gov,hs_grad,9,married_civ_spouse,protective_serv,husband,white,male,0,0,40,united_states,1
33,private,masters,14,married_civ_spouse,prof_specialty,husband,white,male,0,0,50,united_states,0
30,private,9th,5,never_married,sales,not_in_family,white,male,0,0,40,united_states,0
43,federal_gov,doctorate,16,never_married,prof_specialty,not_in_family,white,female,0,0,50,united_states,1
57,private,assoc_voc,11,married_civ_spouse,prof_specialty,husband,white,male,0,0,40,united_states,0
37,private,some_college,10,divorced,craft_repair,unmarried,white,female,0,0,40,united_states,0
28,private,some_college,10,divorced,machine_op_inspct,unmarried,black,female,0,0,25,united_states,0
30,private,hs_grad,9,married_civ_spouse,sales,wife,asian_pac_islander,female,0,1573,35,unknown,0
34,local_gov,bachelors,13,married_civ_spouse,protective_serv,husband,white,male,0,0,40,united_states,1
29,local_gov,some_college,10,never_married,handlers_cleaners,not_in_family,white,male,0,0,50,united_states,0
48,self_emp_not_inc,doctorate,16,married_civ_spouse,prof_specialty,husband,white,male,0,1902,60,united_states,1
37,private,some_college,10,married_civ_spouse,sales,husband,white,male,0,0,48,united_states,1
48,private,assoc_acdm,12,divorced,exec_managerial,unmarried,white,female,0,0,40,england,0
32,federal_gov,hs_grad,9,never_married,other_service,own_child,black,male,0,0,40,united_states,0
76,private,masters,14,married_civ_spouse,exec_managerial,husband,white,male,0,0,40,united_states,1
44,private,bachelors,13,married_civ_spouse,exec_managerial,husband,white,male,15024,0,60,united_states,1
47,self_emp_not_inc,masters,14,never_married,prof_specialty,not_in_family,white,female,0,0,50,united_states,0
20,private,some_college,10,never_married,tech_support,own_child,white,female,0,0,40,united_states,0
29,private,hs_grad,9,never_married,craft_repair,not_in_family,white,male,0,0,40,united_states,0
32,self_emp_inc,hs_grad,9,married_civ_spouse,craft_repair,husband,white,male,7688,0,40,united_states,1
17,unknown,10th,6,never_married,unknown,own_child,white,female,34095,0,32,united_states,0
30,private,11th,7,never_married,handlers_cleaners,own_child,white,male,0,0,40,united_states,0
31,local_gov,hs_grad,9,never_married,adm_clerical,not_in_family,white,female,0,0,40,united_states,0
42,private,hs_grad,9,married_civ_spouse,handlers_cleaners,husband,white,male,0,0,40,united_states,0
24,private,bachelors,13,never_married,sales,other_relative,white,male,0,0,40,united_states,0
38,private,prof_school,15,married_civ_spouse,prof_specialty,husband,white,male,0,0,40,united_states,1
56,self_emp_not_inc,hs_grad,9,married_civ_spouse,other_service,husband,white,male,0,1887,50,canada,1
28,private,some_college,10,married_civ_spouse,sales,wife,white,female,4064,0,25,united_states,0
36,private,hs_grad,9,never_married,machine_op_inspct,own_child,white,female,0,0,40,united_states,0
53,private,9th,5,married_civ_spouse,handlers_cleaners,husband,white,male,0,0,50,united_states,0
56,self_emp_inc,some_college,10,married_civ_spouse,sales,husband,white,male,0,0,50,united_states,0
49,local_gov,assoc_voc,11,married_civ_spouse,craft_repair,husband,black,male,0,0,40,united_states,1
55,private,some_college,10,married_civ_spouse,sales,husband,white,male,0,0,56,united_states,0
22,private,hs_grad,9,never_married,craft_repair,not_in_family,white,male,0,0,41,united_states,0
21,private,some_college,10,never_married,other_service,own_child,white,female,0,0,40,united_states,0
40,private,bachelors,13,married_civ_spouse,exec_managerial,husband,white,male,0,0,60,united_states,0
30,private,bachelors,13,never_married,exec_managerial,own_child,black,male,0,0,40,germany,0
29,state_gov,bachelors,13,married_civ_spouse,prof_specialty,husband,white,male,0,0,50,united_states,1
19,private,some_college,10,never_married,other_service,own_child,black,male,0,0,35,united_states,0
47,private,bachelors,13,married_civ_spouse,exec_managerial,wife,white,female,0,0,40,united_states,1
20,private,some_college,10,never_married,adm_clerical,own_child,white,female,0,1719,28,united_states,0
31,private,assoc_acdm,12,married_civ_spouse,adm_clerical,husband,white,male,0,0,40,united_states,1
35,unknown,hs_grad,9,married_civ_spouse,unknown,husband,white,male,0,0,40,united_states,0
39,private,some_college,10,divorced,craft_repair,not_in_family,white,male,0,0,40,united_states,0
28,private,assoc_acdm,12,never_married,sales,not_in_family,white,female,0,0,60,united_states,0
24,private,hs_grad,9,never_married,other_service,not_in_family,white,female,0,1762,40,united_states,0
38,self_emp_not_inc,hs_grad,9,married_civ_spouse,craft_repair,husband,white,male,4386,0,35,united_states,0
37,private,bachelors,13,married_civ_spouse,sales,husband,white,male,0,0,50,united_states,0
46,private,assoc_acdm,12,divorced,tech_support,not_in_family,black,female,0,0,36,united_states,0
38,federal_gov,masters,14,married_civ_spouse,prof_specialty,husband,white,male,0,0,40,iran,1
43,self_emp_not_inc,hs_grad,9,married_civ_spouse,craft_repair,husband,white,male,0,0,60,united_states,0
27,private,assoc_voc,11,married_civ_spouse,adm_clerical,wife,white,female,0,0,35,united_states,0
20,private,some_college,10,never_married,sales,own_child,white,male,0,0,20,united_states,0
49,private,some_college,10,married_civ_spouse,craft_repair,husband,asian_pac_islander,male,0,0,40,united_states,1
61,self_emp_inc,hs_grad,9,married_civ_spouse,craft_repair,husband,white,male,0,0,40,united_states,0
27,private,some_college,10,never_married,sales,own_child,white,female,0,0,40,united_states,0
19,private,some_college,10,never_married,other_service,own_child,white,male,0,0,30,mexico,0
45,private,assoc_voc,11,never_married,prof_specialty,not_in_family,white,female,0,1564,40,united_states,1
70,private,some_college,10,never_married,tech_support,other_relative,white,male,0,0,40,united_states,0
31,private,hs_grad,9,never_married,transport_moving,unmarried,black,female,0,0,30,united_states,0
22,private,some_college,10,married_civ_spouse,other_service,husband,white,male,0,0,24,united_states,0
36,private,hs_grad,9,widowed,other_service,unmarried,white,female,0,0,24,united_states,0
64,private,11th,7,married_civ_spouse,craft_repair,husband,white,male,0,2179,40,united_states,0
43,unknown,some_college,10,divorced,unknown,not_in_family,white,female,0,0,40,united_states,0
47,local_gov,some_college,10,divorced,adm_clerical,unmarried,white,female,0,0,38,mexico,0
34,private,hs_grad,9,never_married,adm_clerical,not_in_family,white,female,0,0,40,united_states,0
33,private,bachelors,13,never_married,exec_managerial,other_relative,asian_pac_islander,female,0,0,40,philippines,0
21,private,hs_grad,9,never_married,craft_repair,own_child,white,male,0,0,35,united_states,0
52,unknown,hs_grad,9,divorced,unknown,not_in_family,white,male,0,0,45,united_states,1
48,private,hs_grad,9,married_civ_spouse,craft_repair,husband,white,male,0,0,46,united_states,0
23,private,bachelors,13,never_married,handlers_cleaners,not_in_family,white,male,0,0,40,united_states,0
71,self_emp_not_inc,some_college,10,separated,sales,unmarried,black,male,0,1816,2,united_states,0
29,private,hs_grad,9,divorced,craft_repair,not_in_family,white,male,0,0,60,united_states,0
42,private,bachelors,13,separated,other_service,other_relative,black,male,0,0,50,united_states,0
68,unknown,1st_4th,2,divorced,unknown,not_in_family,white,female,0,0,20,united_states,0
25,private,hs_grad,9,never_married,other_service,unmarried,white,female,0,0,40,united_states,0
44,self_emp_inc,masters,14,divorced,exec_managerial,unmarried,asian_pac_islander,female,0,0,40,united_states,0
28,private,hs_grad,9,never_married,exec_managerial,not_in_family,asian_pac_islander,female,0,0,40,england,0
45,self_emp_not_inc,masters,14,married_civ_spouse,sales,husband,white,male,0,0,40,united_states,1
36,private,some_college,10,divorced,other_service,unmarried,white,female,0,0,40,mexico,0
39,federal_gov,assoc_acdm,12,never_married,exec_managerial,not_in_family,white,male,0,0,42,united_states,0
46,state_gov,masters,14,widowed,protective_serv,unmarried,white,male,0,0,40,united_states,0
18,private,11th,7,never_married,handlers_cleaners,own_child,white,male,0,0,16,united_states,0
66,local_gov,assoc_voc,11,widowed,prof_specialty,not_in_family,white,female,0,0,20,united_states,0
27,private,hs_grad,9,never_married,other_service,not_in_family,white,male,0,1980,40,united_states,0
28,state_gov,hs_grad,9,married_civ_spouse,protective_serv,husband,white,male,0,0,40,united_states,0
51,private,some_college,10,married_civ_spouse,sales,husband,white,male,0,1977,40,united_states,1
27,private,bachelors,13,never_married,craft_repair,not_in_family,white,male,0,0,50,united_states,0
28,state_gov,bachelors,13,married_civ_spouse,prof_specialty,husband,white,male,0,0,40,united_states,1
27,private,hs_grad,9,married_spouse_absent,sales,unmarried,white,female,0,0,25,united_states,0
21,private,hs_grad,9,never_married,craft_repair,own_child,black,male,0,0,40,united_states,0
34,private,hs_grad,9,never_married,handlers_cleaners,not_in_family,black,male,0,0,40,united_states,0
18,private,hs_grad,9,never_married,other_service,own_child,white,male,0,0,12,united_states,0
33,private,bachelors,13,married_civ_spouse,prof_specialty,husband,white,male,0,0,65,united_states,0
44,local_gov,some_college,10,married_civ_spouse,exec_managerial,husband,black,male,0,0,38,united_states,1
43,private,some_college,10,divorced,adm_clerical,not_in_family,white,female,0,0,40,united_states,0
30,private,some_college,10,never_married,craft_repair,not_in_family,black,male,0,0,45,united_states,0
40,private,7th_8th,4,married_civ_spouse,machine_op_inspct,husband,white,male,0,0,40,mexico,1
37,federal_gov,some_college,10,married_civ_spouse,adm_clerical,husband,white,male,0,0,42,united_states,1
34,private,hs_grad,9,married_civ_spouse,adm_clerical,husband,black,male,0,0,40,united_states,0
41,self_emp_not_inc,bachelors,13,divorced,exec_managerial,not_in_family,white,female,0,0,40,united_states,0
53,unknown,bachelors,13,divorced,unknown,not_in_family,white,female,0,0,50,united_states,0
31,private,masters,14,married_civ_spouse,prof_specialty,wife,white,female,0,0,50,united_states,0
58,state_gov,doctorate,16,married_civ_spouse,prof_specialty,husband,white,male,0,0,1,united_states,1
38,private,some_college,10,divorced,machine_op_inspct,not_in_family,black,female,0,0,28,united_states,0
24,private,some_college,10,married_civ_spouse,machine_op_inspct,husband,white,male,0,0,40,united_states,0
41,local_gov,bachelors,13,married_civ_spouse,craft_repair,husband,black,male,0,0,40,united_states,0
47,private,some_college,10,married_civ_spouse,tech_support,husband,white,male,0,0,45,united_states,0
41,federal_gov,bachelors,13,married_civ_spouse,tech_support,husband,white,male,0,0,24,united_states,0
23,private,5th_6th,3,married_civ_spouse,transport_moving,other_relative,white,male,0,0,40,mexico,0
36,private,some_college,10,divorced,craft_repair,not_in_family,white,male,0,0,40,united_states,0
40,federal_gov,masters,14,never_married,exec_managerial,not_in_family,white,female,14084,0,55,united_states,1
35,private,masters,14,married_civ_spouse,prof_specialty,other_relative,white,male,7298,0,40,united_states,1
24,self_emp_not_inc,hs_grad,9,never_married,sales,not_in_family,white,male,0,0,40,united_states,0
26,private,masters,14,never_married,prof_specialty,not_in_family,white,female,0,1876,40,united_states,0
19,unknown,hs_grad,9,never_married,unknown,own_child,white,male,0,0,40,italy,0
51,private,bachelors,13,married_civ_spouse,exec_managerial,husband,white,male,0,0,50,united_states,1
42,local_gov,some_college,10,never_married,prof_specialty,not_in_family,white,female,0,1340,40,united_states,0
37,state_gov,hs_grad,9,divorced,adm_clerical,unmarried,white,female,0,0,35,united_states,0
18,private,11th,7,never_married,sales,own_child,white,female,0,0,40,united_states,0
36,private,bachelors,13,married_civ_spouse,other_service,husband,black,male,7298,0,36,united_states,1
35,private,hs_grad,9,divorced,craft_repair,not_in_family,white,male,0,0,60,united_states,0
58,self_emp_inc,hs_grad,9,married_civ_spouse,sales,wife,white,female,15024,0,35,united_states,1
17,private,11th,7,never_married,sales,own_child,white,female,0,0,12,united_states,0
44,local_gov,hs_grad,9,married_civ_spouse,transport_moving,husband,black,male,0,0,40,united_states,0
37,private,hs_grad,9,married_civ_spouse,craft_repair,husband,white,male,0,0,40,united_states,1
35,private,some_college,10,never_married,sales,not_in_family,amer_indian_eskimo,female,0,0,40,united_states,0
60,private,hs_grad,9,married_civ_spouse,craft_repair,husband,asian_pac_islander,male,0,0,40,united_states,0
54,self_emp_inc,7th_8th,4,married_civ_spouse,machine_op_inspct,husband,white,male,0,0,40,united_states,1
37,private,bachelors,13,never_married,exec_managerial,not_in_family,black,male,0,0,60,united_states,1
50,private,assoc_acdm,12,divorced,sales,not_in_family,white,female,0,0,40,united_states,0
38,private,bachelors,13,married_civ_spouse,sales,husband,white,male,0,0,50,poland,0
45,private,bachelors,13,married_civ_spouse,prof_specialty,husband,white,male,0,0,55,united_states,0
25,private,10th,6,never_married,craft_repair,not_in_family,white,male,0,0,40,united_states,0
31,private,some_college,10,married_civ_spouse,handlers_cleaners,husband,white,male,0,0,40,united_states,0
64,unknown,1st_4th,2,divorced,unknown,not_in_family,white,male,0,0,40,united_states,0
90,private,hs_grad,9,never_married,other_service,not_in_family,black,male,0,2206,40,united_states,0
54,private,hs_grad,9,married_civ_spouse,adm_clerical,husband,black,male,0,0,20,united_states,0
53,local_gov,preschool,1,never_married,machine_op_inspct,not_in_family,white,female,0,0,35,united_states,0
18,private,hs_grad,9,never_married,sales,own_child,white,female,0,0,40,united_states,0
60,unknown,10th,6,divorced,unknown,not_in_family,amer_indian_eskimo,female,0,0,10,united_states,0
66,self_emp_not_inc,hs_grad,9,married_civ_spouse,farming_fishing,husband,white,male,1409,0,50,united_states,0
75,private,assoc_voc,11,widowed,adm_clerical,not_in_family,white,female,0,0,20,columbia,0
65,private,hs_grad,9,divorced,adm_clerical,not_in_family,white,female,0,0,40,united_states,0
35,private,11th,7,separated,transport_moving,not_in_family,black,male,3674,0,40,united_states,0
41,private,hs_grad,9,divorced,sales,unmarried,black,female,0,0,38,united_states,0
25,private,some_college,10,never_married,adm_clerical,not_in_family,white,male,0,0,42,united_states,0
33,private,some_college,10,divorced,craft_repair,other_relative,other,female,0,0,40,united_states,0
28,private,prof_school,15,never_married,prof_specialty,not_in_family,white,male,0,0,55,united_states,1
59,state_gov,hs_grad,9,married_civ_spouse,other_service,husband,white,male,0,0,40,united_states,0
40,state_gov,some_college,10,never_married,adm_clerical,not_in_family,white,female,0,0,38,united_states,0
41,private,bachelors,13,married_civ_spouse,exec_managerial,husband,white,male,0,0,50,iran,1
38,local_gov,masters,14,married_civ_spouse,exec_managerial,husband,white,male,0,0,70,united_states,1
23,private,hs_grad,9,never_married,transport_moving,own_child,white,male,0,0,40,united_states,0
40,private,bachelors,13,married_civ_spouse,prof_specialty,husband,white,male,0,0,40,united_states,1
41,self_emp_not_inc,hs_grad,9,married_civ_spouse,other_service,wife,white,female,0,0,20,united_states,0
24,state_gov,assoc_acdm,12,married_civ_spouse,protective_serv,husband,white,male,0,0,50,united_states,0
20,unknown,some_college,10,never_married,unknown,own_child,white,male,0,0,20,united_states,0
38,private,some_college,10,divorced,craft_repair,not_in_family,white,male,0,1741,40,united_states,0
56,private,hs_grad,9,married_civ_spouse,adm_clerical,husband,white,male,0,0,35,unknown,0
58,private,hs_grad,9,married_civ_spouse,adm_clerical,husband,white,male,0,0,45,united_states,1
32,private,hs_grad,9,never_married,other_service,not_in_family,white,female,0,0,34,united_states,0
40,private,assoc_acdm,12,married_civ_spouse,tech_support,husband,white,male,0,1977,60,united_states,1
45,private,hs_grad,9,married_civ_spouse,adm_clerical,husband,white,male,0,0,40,unknown,0
41,private,prof_school,15,married_civ_spouse,prof_specialty,wife,white,female,0,0,40,united_states,1
42,private,bachelors,13,married_civ_spouse,adm_clerical,wife,black,female,0,0,40,united_states,0
59,local_gov,10th,6,widowed,other_service,unmarried,black,female,0,0,30,united_states,0
19,local_gov,some_college,10,never_married,adm_clerical,own_child,white,male,0,0,40,united_states,0
58,private,some_college,10,never_married,transport_moving,not_in_family,white,male,0,0,20,united_states,0
42,self_emp_not_inc,hs_grad,9,married_civ_spouse,farming_fishing,husband,asian_pac_islander,male,0,0,40,cambodia,1
20,private,hs_grad,9,never_married,other_service,own_child,white,female,0,0,40,united_states,0
32,private,hs_grad,9,separated,other_service,not_in_family,white,female,0,0,30,united_states,0
45,private,assoc_voc,11,widowed,exec_managerial,not_in_family,white,female,0,0,45,united_states,0
50,private,7th_8th,4,divorced,craft_repair,not_in_family,white,male,0,0,40,united_states,0
36,private,bachelors,13,divorced,prof_specialty,own_child,white,female,0,0,40,united_states,0
45,private,hs_grad,9,married_civ_spouse,sales,husband,white,male,0,0,60,united_states,0
17,private,11th,7,never_married,other_service,own_child,white,male,0,0,12,united_states,0
59,private,some_college,10,married_civ_spouse,sales,husband,white,male,4064,0,40,united_states,0
26,private,11th,7,married_civ_spouse,craft_repair,husband,white,male,0,0,40,united_states,0
37,self_emp_inc,some_college,10,married_civ_spouse,exec_managerial,husband,asian_pac_islander,male,0,0,75,thailand,1
19,unknown,some_college,10,never_married,unknown,own_child,white,male,0,0,24,canada,0
64,private,hs_grad,9,married_civ_spouse,exec_managerial,husband,white,male,0,0,40,united_states,1
33,private,bachelors,13,never_married,prof_specialty,not_in_family,white,female,0,0,45,united_states,0
33,private,hs_grad,9,married_civ_spouse,craft_repair,wife,white,female,0,0,40,united_states,1
61,private,hs_grad,9,married_civ_spouse,exec_managerial,husband,white,male,0,0,40,united_states,1
17,private,9th,5,never_married,other_service,own_child,white,male,1055,0,24,united_states,0
50,self_emp_not_inc,masters,14,married_civ_spouse,farming_fishing,husband,white,male,2407,0,98,united_states,0
27,local_gov,masters,14,never_married,prof_specialty,own_child,white,male,0,0,35,united_states,0
30,private,hs_grad,9,divorced,prof_specialty,own_child,white,female,0,0,40,united_states,0
43,private,hs_grad,9,married_civ_spouse,handlers_cleaners,husband,black,male,0,0,40,united_states,0
44,private,some_college,10,married_civ_spouse,craft_repair,husband,white,male,7298,0,40,united_states,1
35,private,some_college,10,never_married,exec_managerial,not_in_family,white,female,0,0,40,united_states,0
25,private,some_college,10,never_married,tech_support,own_child,white,female,0,0,40,united_states,0
24,private,some_college,10,married_civ_spouse,machine_op_inspct,wife,white,female,7298,0,48,united_states,1
22,private,bachelors,13,never_married,prof_specialty,not_in_family,white,female,0,0,15,germany,0
42,local_gov,some_college,10,married_civ_spouse,craft_repair,husband,white,male,5178,0,40,united_states,1
34,private,assoc_acdm,12,divorced,sales,unmarried,black,female,0,0,45,united_states,0
60,private,bachelors,13,divorced,prof_specialty,not_in_family,white,female,0,0,42,united_states,0
21,private,hs_grad,9,never_married,handlers_cleaners,own_child,white,male,0,0,40,united_states,0
57,federal_gov,masters,14,married_civ_spouse,sales,husband,white,male,15024,0,40,united_states,1
41,private,prof_school,15,married_civ_spouse,prof_specialty,husband,white,male,0,0,60,united_states,1
50,private,some_college,10,divorced,other_service,not_in_family,white,male,0,0,45,united_states,0
25,private,bachelors,13,never_married,exec_managerial,not_in_family,white,female,0,0,40,united_states,0
50,private,7th_8th,4,married_civ_spouse,craft_repair,husband,white,male,0,0,40,ecuador,0
36,private,bachelors,13,married_civ_spouse,prof_specialty,husband,white,male,0,0,45,united_states,0
31,private,hs_grad,9,divorced,prof_specialty,not_in_family,white,female,0,0,40,united_states,0
29,local_gov,bachelors,13,never_married,protective_serv,not_in_family,white,male,0,0,56,united_states,0
21,private,some_college,10,never_married,sales,own_child,white,male,0,0,45,united_states,0
27,private,bachelors,13,never_married,tech_support,unmarried,black,female,0,0,40,united_states,0
65,private,hs_grad,9,married_civ_spouse,transport_moving,husband,white,male,0,0,16,united_states,0
37,self_emp_inc,bachelors,13,divorced,sales,not_in_family,white,female,0,0,60,united_states,0
39,unknown,masters,14,married_civ_spouse,unknown,wife,asian_pac_islander,female,3464,0,40,unknown,0
24,private,hs_grad,9,never_married,craft_repair,own_child,white,male,0,0,40,united_states,0
38,private,hs_grad,9,divorced,sales,not_in_family,white,male,0,0,80,united_states,0
48,private,bachelors,13,married_civ_spouse,adm_clerical,husband,white,male,7688,0,40,united_states,1
21,private,some_college,10,never_married,other_service,not_in_family,asian_pac_islander,female,0,0,25,united_states,0
31,private,hs_grad,9,married_civ_spouse,transport_moving,husband,white,male,0,0,45,united_states,1
55,private,hs_grad,9,married_civ_spouse,sales,husband,white,male,4386,0,40,united_states,1
24,private,some_college,10,married_civ_spouse,adm_clerical,wife,asian_pac_islander,female,0,0,40,laos,0
43,private,hs_grad,9,divorced,adm_clerical,not_in_family,white,female,0,0,40,united_states,0
